timestamp,price_eur_per_mwh,contract_limit_kw
2026-06-21 00:00:00,58.0,160.0
2026-06-21 01:00:00,49.0,160.0
2026-06-21 02:00:00,44.0,160.0
2026-06-21 03:00:00,42.0,160.0
2026-06-21 04:00:00,46.0,160.0
2026-06-21 05:00:00,58.0,160.0
2026-06-21 06:00:00,72.0,160.0
2026-06-21 07:00:00,64.0,160.0
2026-06-21 08:00:00,38.0,160.0
2026-06-21 09:00:00,18.0,160.0
2026-06-21 10:00:00,2.0,160.0
2026-06-21 11:00:00,-12.0,160.0
2026-06-21 12:00:00,-22.0,160.0
2026-06-21 13:00:00,-18.0,160.0
2026-06-21 14:00:00,-4.0,160.0
2026-06-21 15:00:00,16.0,160.0
2026-06-21 16:00:00,42.0,160.0
2026-06-21 17:00:00,78.0,160.0
2026-06-21 18:00:00,112.0,160.0
2026-06-21 19:00:00,138.0,160.0
2026-06-21 20:00:00,124.0,160.0
2026-06-21 21:00:00,96.0,160.0
2026-06-21 22:00:00,74.0,160.0
2026-06-21 23:00:00,62.0,160.0
